Year,Educational Level,Academic Level,Type of Educational Institution,Region,State,Type of University,University Name,General Field,Field,Specialization,Education type,Gender,Nationality,Number of Students
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,المدينة المنورة,المدينة المنورة,جامعة,جامعة طيبة,تكنولوجيا الاتصالات والمعلومات,برامج غير محددة في تكنولوجيا الاتصالات والمعلومات,برامج غير محددة في تكنولوجيا الاتصالات والمعلومات,منتظم,ذكر,سعودي,7
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الهندسة والمعالجات الكيميائية,منتظم,ذكر,غير سعودي,17
1/1/2017,بكالوريوس,بكالوريوس,مؤسسات التعليم العالي الأخرى,عسير,أبها,كلية,المؤسسة العامة للتدريب التقني والمهني,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,موازي,ذكر,سعودي,41
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,جازان,فرسان,جامعة,جامعة جازان,العلوم الطبيعية والرياضيات والإحصاء,الرياضيات والإحصاء,الرياضيات,منتظم,أنثى,سعودي,6
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,المدينة المنورة,المدينة المنورة,جامعة,جامعة طيبة,الصحة والرفاة,الصحة,العلاج وإعادة التأهيل,منتظم,أنثى,سعودي,212
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الأميرة نورة بنت عبدالرحمن,الصحة والرفاة,الصحة,التمريض والقبالة,منتظم,أنثى,غير سعودي,11
1/1/2013,دراسات عليا,دكتوراه,جامعات حكومية,الشرقية,الظهران,جامعة,جامعة الملك فهد للبترول والمعادن,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الميكانيك والحرف المعدنية,منتظم,ذكر,سعودي,3
1/1/2017,دراسات عليا,ماجستير,جامعات حكومية,القصيم,بريدة,جامعة,جامعة القصيم,الفنون والعلوم الإنسانية,الدراسات الإنسانية,الدين وعلوم الأديان,منتظم,أنثى,سعودي,7
1/1/2016,دراسات عليا,دكتوراه,جامعات حكومية,مكة المكرمة,مكة المكرمة,جامعة,جامعة أم القرى,الفنون والعلوم الإنسانية,الدراسات الإنسانية,الدين وعلوم الأديان,موازي,ذكر,غير سعودي,1
1/1/2014,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الإمام محمد بن سعود الإسلامية,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,منتظم,أنثى,غير سعودي,7
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,الباحة,المخواة,جامعة,جامعة الباحة,الخدمات,الخدمات الشخصية,الخدمات المنزلية,منتظم,أنثى,غير سعودي,1
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,حائل,حائل,جامعة,جامعة حائل,الهندسة والتصنيع والبناء,الهندسة المعمارية والبناء,الهندسة المعمارية وتخطيط المدن,منتظم,ذكر,غير سعودي,12
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,جازان,جازان,جامعة,جامعة جازان,الأعمال والإدارة والقانون,الأعمال والإدارة,التسويق والإعلان,منتظم,أنثى,غير سعودي,5
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الدوادمي,جامعة,جامعة شقراء,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,منتظم,أنثى,سعودي,51
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,جازان,جازان,جامعة,جامعة جازان,التعليم,التعليم,تدريب المعلمين مع موضوع تخصصي,منتسب,أنثى,سعودي,43
1/1/2014,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,العلوم الاجتماعية والصحافة والإعلام,العلوم الاجتماعية والسلوكية,العلوم السياسية وعلم التربية المدنية,منتظم,ذكر,غير سعودي,7
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الدلم,جامعة,جامعة الأمير سطام بن عبدالعزيز,التعليم,التعليم,تدريب المعلمين مع موضوع تخصصي,منتظم,أنثى,سعودي,630
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,وادي الدواسر,جامعة,جامعة الأمير سطام بن عبدالعزيز,الفنون والعلوم الإنسانية,اللغات,إكتساب اللغات,منتظم,ذكر,غير سعودي,3
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,المدينة المنورة,المدينة المنورة,جامعة,جامعة طيبة,الصحة والرفاة,الصحة,العلاج وإعادة التأهيل,منتظم,أنثى,سعودي,170
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,المدينة المنورة,المدينة المنورة,جامعة,الجامعة الإسلامية,العلوم الطبيعية والرياضيات والإحصاء,الرياضيات والإحصاء,الرياضيات,منتظم,ذكر,غير سعودي,8
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الإحساء,جامعة,جامعة الملك فيصل,التعليم,التعليم,تدريب المعلمين دون موضوع تخصصي,منتسب,أنثى,غير سعودي,9
