Year,Educational Level,Academic Level,Type of Educational Institution,Region,State,Type of University,University Name,General Field,Field,Specialization,Education type,Gender,Nationality,Number of Students
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,مكة المكرمة,جامعة,جامعة أم القرى,الأعمال والإدارة والقانون,القانون,القانون,منتسب,أنثى,سعودي,641
1/1/2015,دراسات عليا,دبلوم عالي,جامعات حكومية,عسير,أبها,جامعة,جامعة الملك خالد,التعليم,التعليم,تدريب المعلمين مع موضوع تخصصي,منتظم,ذكر,سعودي,30
1/1/2015,دراسات عليا,دكتوراه,جامعات حكومية,مكة المكرمة,مكة المكرمة,جامعة,جامعة أم القرى,التعليم,التعليم,علم التربية,منتظم,ذكر,سعودي,6
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,الحدود الشمالية,عرعر,جامعة,جامعة الحدود الشمالية,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,برامج غير مصنفة في مجال الهندسة والحرف الهندسية,منتظم,ذكر,غير سعودي,1
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,تبوك,ضباء,جامعة,جامعة تبوك,الفنون والعلوم الإنسانية,اللغات,الأدب وعلوم اللغات,منتظم,أنثى,سعودي,55
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,جدة,جامعة,الجامعة السعودية الإلكترونية,الصحة والرفاة,الصحة,برامج غير محددة في الصحة,منتظم,أنثى,غير سعودي,72
1/1/2017,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,مكة المكرمة,جدة,جامعة,جامعة دار الحكمة الأهلية,الفنون والعلوم الإنسانية,الفنون,الموضة والتصميم الداخلي والصناعي,منتظم,أنثى,غير سعودي,20
1/1/2015,دراسات عليا,دبلوم عالي,جامعات حكومية,الرياض,رماح,جامعة,جامعة المجمعة,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,ذكر,سعودي,42
1/1/2015,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,الرياض,شقراء,جامعة,جامعة شقراء,الأعمال والإدارة والقانون,الأعمال والإدارة,المحاسبة والضرائب,منتظم,ذكر,سعودي,5
1/1/2015,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,الرياض,رماح,جامعة,جامعة المجمعة,الأعمال والإدارة والقانون,الأعمال والإدارة,المحاسبة والضرائب,منتظم,ذكر,سعودي,23
1/1/2015,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,حائل,حائل,كلية,المؤسسة العامة للتدريب التقني والمهني,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,استخدام الحاسب الآلي,منتظم,ذكر,سعودي,79
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,مكة المكرمة,جامعة,جامعة أم القرى,الأعمال والإدارة والقانون,القانون,القانون,منتظم,أنثى,سعودي,56
1/1/2017,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,مكة المكرمة,الطائف,كلية,المؤسسة العامة للتدريب التقني والمهني,الخدمات,الخدمات الشخصية,السفر والسياحة والترفيه,منتظم,ذكر,سعودي,508
1/1/2016,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,تبوك,تبوك,كلية,المؤسسة العامة للتدريب التقني والمهني,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تصميم وإدارة قواعد وشبكات البيانات,منتظم,ذكر,سعودي,225
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الأميرة نورة بنت عبدالرحمن,التعليم,التعليم,تدريب المعلمين مع موضوع تخصصي,منتظم,أنثى,سعودي,704
1/1/2013,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,الرياض,الرياض,جامعة,جامعة الأمير سلطان,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الإلكترونيات والأتمتة,منتظم,ذكر,سعودي,2
1/1/2015,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,جازان,جازان,جامعة,جامعة جازان,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,أنثى,سعودي,574
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,المدينة المنورة,العلا,جامعة,جامعة طيبة,العلوم الطبيعية والرياضيات والإحصاء,برامج غير محددة في العلوم الطبيعية والرياضيات والإحصاء,برامج غير محددة في العلوم الطبيعية والرياضيات والإحصاء,منتظم,أنثى,سعودي,377
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,العلوم الطبيعية والرياضيات والإحصاء,العلوم الفيزيائية,الفيزياء,منتظم,ذكر,سعودي,7
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الدوادمي,جامعة,جامعة شقراء,الهندسة والتصنيع والبناء,الهندسة المعمارية والبناء,البناء والهندسة المدنية,منتظم,ذكر,سعودي,102
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,رابغ,جامعة,جامعة الملك عبدالعزيز,الأعمال والإدارة والقانون,الأعمال والإدارة,التسويق والإعلان,منتسب,أنثى,سعودي,229
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,رابغ,جامعة,جامعة الملك عبدالعزيز,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتسب,أنثى,سعودي,921
1/1/2015,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,القصيم,عنيزة,جامعة,جامعة القصيم,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تصميم وإدارة قواعد وشبكات البيانات,منتظم,ذكر,سعودي,20
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,المدينة المنورة,المدينة المنورة,جامعة,الجامعة السعودية الإلكترونية,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,أنثى,غير سعودي,17
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,الخرمة,جامعة,جامعة الطائف,الفنون والعلوم الإنسانية,اللغات,الأدب وعلوم اللغات,منتظم,أنثى,سعودي,56
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,حوطة بني تميم,جامعة,جامعة الأمير سطام بن عبدالعزيز,الفنون والعلوم الإنسانية,اللغات,الأدب وعلوم اللغات,منتظم,أنثى,سعودي,32
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,القويعية,جامعة,جامعة شقراء,الفنون والعلوم الإنسانية,اللغات,إكتساب اللغات,منتظم,ذكر,سعودي,304
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,تبوك,تبوك,جامعة,جامعة تبوك,الفنون والعلوم الإنسانية,الدراسات الإنسانية,الدين وعلوم الأديان,منتسب,ذكر,غير سعودي,1
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,المدينة المنورة,المدينة المنورة,جامعة,جامعة طيبة,التعليم,التعليم,تدريب المعلمين دون موضوع تخصصي,منتظم,أنثى,سعودي,17
1/1/2013,دراسات عليا,ماجستير,جامعات حكومية,مكة المكرمة,مكة المكرمة,جامعة,جامعة أم القرى,الفنون والعلوم الإنسانية,اللغات,الأدب وعلوم اللغات,منتظم,ذكر,سعودي,42
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الدوادمي,جامعة,جامعة شقراء,البرامج والمؤهلات العامة,البرامج والمؤهلات العامة,البرامج والمؤهلات العامة,منتظم,ذكر,غير سعودي,7
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,التعليم,التعليم,علم التربية,منتظم,ذكر,سعودي,7
1/1/2013,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,حائل,حائل,جامعة,جامعة حائل,البرامج والمؤهلات العامة,البرامج والمؤهلات العامة,البرامج والمؤهلات العامة,منتظم,أنثى,غير سعودي,88
1/1/2013,دراسات عليا,ماجستير,جامعات حكومية,مكة المكرمة,مكة المكرمة,جامعة,جامعة أم القرى,الفنون والعلوم الإنسانية,اللغات,الأدب وعلوم اللغات,منتظم,أنثى,غير سعودي,2
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,جازان,جازان,جامعة,جامعة جازان,التعليم,التعليم,تدريب معلمي ما قبل المدرسة,منتظم,أنثى,سعودي,267
1/1/2015,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,الشرقية,الخبر,كلية,كلية سعد الأهلية للتمريض والعلوم الصحية,الصحة والرفاة,الصحة,التمريض والقبالة,منتظم,أنثى,غير سعودي,2
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,رابغ,جامعة,جامعة الملك عبدالعزيز,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتسب,ذكر,غير سعودي,77
1/1/2017,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,مكة المكرمة,مكة المكرمة,كلية,المؤسسة العامة للتدريب التقني والمهني,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,ذكر,غير سعودي,4
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الزراعة والحراجة ومصائد الأسماك والبيطرة,الزراعة,برامج غير مصنفة في مجال الزراعة,منتظم,ذكر,غير سعودي,14
1/1/2017,بكالوريوس,بكالوريوس,مؤسسات التعليم العالي الأخرى,مكة المكرمة,جدة,كلية,المؤسسة العامة للتدريب التقني والمهني,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الميكانيك والحرف المعدنية,موازي,ذكر,سعودي,59
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الدمام,جامعة,جامعة الإمام عبدالرحمن بن فيصل,العلوم الاجتماعية والصحافة والإعلام,العلوم الاجتماعية والسلوكية,علم الاجتماع والدراسات الثقافية,منتسب,أنثى,غير سعودي,14
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,رابغ,جامعة,جامعة الملك عبدالعزيز,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,موازي,أنثى,غير سعودي,41
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,رابغ,جامعة,جامعة الملك عبدالعزيز,الأعمال والإدارة والقانون,برامج غير محددة في الأعمال والإدارة والقانون,برامج غير محددة في الأعمال والإدارة والقانون,منتظم,أنثى,غير سعودي,1
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,تبوك,تبوك,جامعة,جامعة تبوك,الخدمات,الخدمات الشخصية,الخدمات المنزلية,موازي,أنثى,سعودي,75
1/1/2013,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,المدينة المنورة,خيبر,جامعة,جامعة طيبة,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,موازي,ذكر,سعودي,14
1/1/2017,دراسات عليا,دكتوراه,جامعات حكومية,المدينة المنورة,المدينة المنورة,جامعة,الجامعة الإسلامية,الفنون والعلوم الإنسانية,اللغات,الأدب وعلوم اللغات,منتظم,ذكر,سعودي,32
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,ساجر,جامعة,جامعة شقراء,الفنون والعلوم الإنسانية,اللغات,إكتساب اللغات,منتظم,ذكر,سعودي,36
1/1/2017,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,عسير,أبها,جامعة,جامعة الملك خالد,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,منتظم,أنثى,سعودي,210
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,نجران,نجران,جامعة,جامعة نجران,التعليم,التعليم,تدريب معلمي ما قبل المدرسة,منتظم,أنثى,سعودي,547
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,الباحة,الباحة,جامعة,جامعة الباحة,الهندسة والتصنيع والبناء,الهندسة المعمارية والبناء,الهندسة المعمارية وتخطيط المدن,منتظم,ذكر,سعودي,136
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,المدينة المنورة,المدينة المنورة,جامعة,جامعة طيبة,الأعمال والإدارة والقانون,الأعمال والإدارة,المحاسبة والضرائب,منتظم,أنثى,سعودي,259
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,مكة المكرمة,جامعة,جامعة أم القرى,الصحة والرفاة,الصحة,التمريض والقبالة,منتظم,أنثى,غير سعودي,5
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,الكامل,جامعة,جامعة جدة,الأعمال والإدارة والقانون,برامج غير محددة في الأعمال والإدارة والقانون,برامج غير محددة في الأعمال والإدارة والقانون,منتظم,ذكر,سعودي,67
1/1/2016,دراسات عليا,ماجستير,جامعات حكومية,مكة المكرمة,الطائف,جامعة,جامعة الطائف,الأعمال والإدارة والقانون,القانون,القانون,منتظم,ذكر,غير سعودي,4
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,حائل,حائل,جامعة,جامعة حائل,الصحة والرفاة,الصحة,الطب,منتظم,أنثى,سعودي,143
1/1/2017,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,مكة المكرمة,جدة,جامعة,جامعة دار الحكمة الأهلية,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,أنثى,غير سعودي,19
1/1/2017,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تصميم وإدارة قواعد وشبكات البيانات,موازي,أنثى,سعودي,3
1/1/2014,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الأعمال والإدارة والقانون,القانون,القانون,موازي,ذكر,سعودي,76
1/1/2015,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,الخدمات,الخدمات الشخصية,الفنادق والمطاعم والطعام الجاهز,منتظم,ذكر,سعودي,76
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الخرج,جامعة,جامعة الأمير سطام بن عبدالعزيز,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,ذكر,سعودي,27
1/1/2016,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,الرياض,الرياض,جامعة,جامعة الفيصل,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الميكانيك والحرف المعدنية,منتظم,أنثى,سعودي,15
1/1/2017,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,الشرقية,الدمام,كلية,المؤسسة العامة للتدريب التقني والمهني,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الميكانيك والحرف المعدنية,منتظم,ذكر,غير سعودي,5
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,المدينة المنورة,ينبع,جامعة,جامعة طيبة,الفنون والعلوم الإنسانية,اللغات,إكتساب اللغات,منتظم,أنثى,سعودي,306
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,البرامج والمؤهلات العامة,البرامج والمؤهلات العامة,البرامج والمؤهلات العامة,منتظم,ذكر,سعودي,19
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,العلوم الطبيعية والرياضيات والإحصاء,العلوم الفيزيائية,الفيزياء,منتظم,أنثى,سعودي,91
1/1/2013,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,الشرقية,الدمام,جامعة,جامعة الملك فهد للبترول والمعادن,الأعمال والإدارة والقانون,الأعمال والإدارة,التسويق والإعلان,موازي,ذكر,غير سعودي,2
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,عسير,خميس مشيط,جامعة,جامعة الملك خالد,الفنون والعلوم الإنسانية,الدراسات الإنسانية,الدين وعلوم الأديان,منتظم,أنثى,سعودي,245
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,الخرمة,جامعة,جامعة الطائف,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,منتظم,ذكر,سعودي,56
1/1/2017,دراسات عليا,ماجستير,جامعات حكومية,مكة المكرمة,مكة المكرمة,جامعة,جامعة أم القرى,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الميكانيك والحرف المعدنية,منتظم,ذكر,سعودي,8
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,القصيم,بريدة,جامعة,جامعة القصيم,الصحة والرفاة,الصحة,العلاج وإعادة التأهيل,منتظم,أنثى,سعودي,303
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,مكة المكرمة,جامعة,جامعة أم القرى,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,أنثى,سعودي,310
1/1/2017,بكالوريوس,بكالوريوس,مؤسسات التعليم العالي الأخرى,مكة المكرمة,جدة,كلية,المؤسسة العامة للتدريب التقني والمهني,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الميكانيك والحرف المعدنية,منتظم,ذكر,سعودي,19
1/1/2015,دراسات عليا,دبلوم عالي,جامعات حكومية,تبوك,حقل,جامعة,جامعة تبوك,التعليم,التعليم,تدريب المعلمين دون موضوع تخصصي,منتظم,أنثى,سعودي,86
1/1/2017,دراسات عليا,ماجستير,جامعات حكومية,الرياض,المجمعة,جامعة,جامعة المجمعة,التعليم,التعليم,تدريب المعلمين مع موضوع تخصصي,منتظم,أنثى,سعودي,6
1/1/2017,دراسات عليا,ماجستير,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,الصحة والرفاة,الصحة,الطب,منتظم,أنثى,سعودي,1
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,الزراعة والحراجة ومصائد الأسماك والبيطرة,الزراعة,إنتاج المحاصيل والمواشي,منتظم,ذكر,غير سعودي,1
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة جدة,التعليم,التعليم,تدريب المعلمين دون موضوع تخصصي,منتظم,أنثى,سعودي,118
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود بن عبدالعزيز للعلوم الصحية,الصحة والرفاة,الصحة,دراسات طب الأسنان,منتظم,ذكر,سعودي,60
1/1/2016,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,التعليم,التعليم,علم التربية,منتظم,ذكر,غير سعودي,1
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,شقراء,جامعة,جامعة شقراء,الأعمال والإدارة والقانون,الأعمال والإدارة,المحاسبة والضرائب,منتظم,ذكر,سعودي,27
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,التعليم,التعليم,تدريب المعلمين مع موضوع تخصصي,منتظم,ذكر,سعودي,5
1/1/2013,دراسات عليا,دبلوم عالي,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,التعليم,التعليم,تدريب المعلمين دون موضوع تخصصي,منتظم,أنثى,غير سعودي,2
1/1/2017,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,المدينة المنورة,المدينة المنورة,كلية,المؤسسة العامة للتدريب التقني والمهني,الأعمال والإدارة والقانون,الأعمال والإدارة,التسويق والإعلان,منتظم,ذكر,سعودي,185
1/1/2017,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الأميرة نورة بنت عبدالرحمن,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,أنثى,غير سعودي,1
1/1/2013,دراسات عليا,دكتوراه,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الإمام محمد بن سعود الإسلامية,الفنون والعلوم الإنسانية,الدراسات الإنسانية,الدين وعلوم الأديان,منتظم,أنثى,سعودي,14
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,حائل,حائل,جامعة,جامعة حائل,التعليم,التعليم,تدريب المعلمين دون موضوع تخصصي,منتظم,ذكر,سعودي,496
1/1/2015,دراسات عليا,ماجستير,جامعات حكومية,المدينة المنورة,المدينة المنورة,جامعة,جامعة طيبة,العلوم الطبيعية والرياضيات والإحصاء,العلوم البيولوجية والعلوم المتصلة بها,البيولوجيا,منتظم,أنثى,سعودي,14
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,الطائف,جامعة,جامعة الطائف,الفنون والعلوم الإنسانية,برامج غير محددة في الفنون والعلوم الإنسانية,برامج غير محددة في الفنون والعلوم الإنسانية,منتظم,ذكر,سعودي,2192
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,المجمعة,جامعة,جامعة المجمعة,الأعمال والإدارة والقانون,القانون,القانون,منتظم,ذكر,غير سعودي,6
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الصحة والرفاة,الصحة,الطب,منتظم,أنثى,غير سعودي,25
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,القصيم,عنيزة,جامعة,جامعة القصيم,الخدمات,الخدمات الشخصية,الخدمات المنزلية,منتظم,أنثى,سعودي,39
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الهندسة والتصنيع والبناء,الهندسة المعمارية والبناء,البناء والهندسة المدنية,منتظم,ذكر,غير سعودي,33
1/1/2017,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,مكة المكرمة,جدة,جامعة,جامعة الأعمال والتكنولوجيا الأهلية,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الإلكترونيات والأتمتة,منتظم,ذكر,سعودي,29
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,المدينة المنورة,المدينة المنورة,جامعة,جامعة طيبة,الفنون والعلوم الإنسانية,الدراسات الإنسانية,الدين وعلوم الأديان,منتسب,أنثى,سعودي,1252
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,الليث,جامعة,جامعة أم القرى,الفنون والعلوم الإنسانية,اللغات,الأدب وعلوم اللغات,منتسب,أنثى,سعودي,39
1/1/2016,دراسات عليا,دكتوراه,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الصحة والرفاة,الصحة,الصيدلة,منتظم,أنثى,غير سعودي,1
1/1/2013,دراسات عليا,دكتوراه,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الفنون والعلوم الإنسانية,الدراسات الإنسانية,التاريخ وعلم الآثار,منتظم,أنثى,غير سعودي,1
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,الحدود الشمالية,عرعر,جامعة,جامعة الحدود الشمالية,الصحة والرفاة,الصحة,التشخيص الطبي وتكنولوجيا العلاج,منتظم,أنثى,سعودي,77
1/1/2015,دراسات عليا,ماجستير,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,الأعمال والإدارة والقانون,القانون,القانون,منتظم,ذكر,سعودي,1
1/1/2017,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الأميرة نورة بنت عبدالرحمن,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,أنثى,سعودي,211
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,الحدود الشمالية,رفحاء,جامعة,جامعة الحدود الشمالية,الصحة والرفاة,الصحة,العلاج وإعادة التأهيل,منتظم,أنثى,غير سعودي,1
1/1/2014,دراسات عليا,ماجستير,جامعات وكليات أهلية,الرياض,الرياض,جامعة,جامعة الأمير سلطان,الأعمال والإدارة والقانون,الأعمال والإدارة,التسويق والإعلان,منتظم,ذكر,سعودي,2
1/1/2017,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,الرياض,الرياض,كلية,المؤسسة العامة للتدريب التقني والمهني,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تصميم وإدارة قواعد وشبكات البيانات,منتظم,ذكر,سعودي,608
1/1/2013,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,التعليم,التعليم,علم التربية,منتظم,ذكر,غير سعودي,1
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,وادي الدواسر,جامعة,جامعة الأمير سطام بن عبدالعزيز,التعليم,التعليم,تدريب المعلمين مع موضوع تخصصي,منتظم,أنثى,سعودي,214
1/1/2017,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,الرياض,الرياض,كلية,كلية العناية الطبية الأهلية,الصحة والرفاة,الصحة,التمريض والقبالة,منتظم,أنثى,سعودي,252
1/1/2015,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,مكة المكرمة,جدة,جامعة,جامعة الأعمال والتكنولوجيا الأهلية,الأعمال والإدارة والقانون,الأعمال والإدارة,المحاسبة والضرائب,منتظم,أنثى,سعودي,88
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,تبوك,تبوك,جامعة,جامعة تبوك,الهندسة والتصنيع والبناء,برامج غير محددة في الهندسة والتصنيع والبناء,برامج غير محددة في الهندسة والتصنيع والبناء,موازي,ذكر,سعودي,57
1/1/2016,دراسات عليا,ماجستير,جامعات حكومية,الشرقية,الإحساء,جامعة,جامعة الملك فيصل,الزراعة والحراجة ومصائد الأسماك والبيطرة,البيطرة,البيطرة,منتظم,ذكر,سعودي,14
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الدمام,جامعة,الجامعة السعودية الإلكترونية,الأعمال والإدارة والقانون,الأعمال والإدارة,التسويق والإعلان,منتظم,ذكر,سعودي,148
1/1/2015,بكالوريوس,بكالوريوس,مؤسسات التعليم العالي الأخرى,الرياض,الرياض,كلية,المؤسسة العامة للتدريب التقني والمهني,الهندسة والتصنيع والبناء,الهندسة المعمارية والبناء,الهندسة المعمارية وتخطيط المدن,منتظم,ذكر,سعودي,10
1/1/2017,دراسات عليا,دكتوراه,جامعات حكومية,مكة المكرمة,مكة المكرمة,جامعة,جامعة أم القرى,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,أنثى,سعودي,15
1/1/2016,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الهندسة والتصنيع والبناء,التصنيع والمعالجة,المناجم والتنقيب,منتظم,ذكر,غير سعودي,2
1/1/2014,دراسات عليا,دكتوراه,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,الفنون والعلوم الإنسانية,اللغات,الأدب وعلوم اللغات,منتظم,أنثى,سعودي,21
1/1/2014,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الإمام محمد بن سعود الإسلامية,التعليم,التعليم,علم التربية,منتظم,ذكر,غير سعودي,3
